0,2013-10-14,XBOX360首发作品：卡蜜欧—元素力量,《卡蜜欧—元素力量》是XBOX360的首发游戏之一，作为大名鼎鼎的RARE十年磨一剑的作品，从N64辗转到GC，而后随着RARE跟了微软又转到XBOX，后来干脆被微软拿到360上做首发，如此辗转反复终于在次世代开幕的时候和大家见面......
1,2013-10-14,我其实还是喜欢VICE CITY！～,能跟掌机上玩到GTA系列，以前一直觉得是件可望而不可即的美事儿！～
2,2013-10-11,我这14年PM经历的流水账,我这14年PM经历的流水账
3,2013-10-10,初次接触Game Boy时所玩的游戏系列1！～,第一次玩的那盘GB盗版合卡里的小游戏，现在想起来都很难忘，那种乐趣是以往俄罗斯方块掌机所难以比拟的！～
4,2013-10-08,黎明期的电子游戏-《铁板阵》！～,我的名字安藤杰尼斯便是音译自《铁板阵》里的母舰-Andor Genesis！～
5,2013-09-29,悲惨的国庆节与《Konami世界》！～,20世纪游戏小子的国庆节到底是什么样呢？
6,2013-09-28,进化！,进化！
7,2013-09-26,丧逼一家人--《とんでもクライシス!》！～,丧逼一家人的日常究竟是什么样呢？
8,2013-09-25,怀旧游戏迷们最后的纸媒阵地-GameSide,《GameSide》大概是怀旧游戏迷们最后的纸媒阵地了。
9,2013-09-24,DS-《美文字トレーニング》!~,没有智能手机的各种应用软件的时代，DS上总是有各种有意思的教育软件登场，真令人怀念！～
10,2013-09-23,電気グルーヴ游戏大时代《グルーヴ地獄V》,与音乐家跨界合作的游戏中，具有KUSO味的肯定还得是《グルーヴ地獄V》！~
11,2013-09-16,PS-《風のノータム》！～,乘坐热气球旅行的游戏会给我们带来治愈性的体验吗？？？
12,2013-09-13,ずんずん教の野望与朱莉安娜女郎!~,今天是周末，来聊点儿和大妞儿有关系的游戏话题吧！！！~
13,2013-09-12,翘曲空间的放浪冒险---Arkanoid！～,《Arkanoid》大概属于那种能玩到世界末日的游戏。
14,2013-09-11,Famicom上的知名西游记系列！~,每年暑假电视台都会重播《西游记》电视剧。不过，以《西游记》为题材的游戏你玩过多少呢？
15,2013-09-09,涂鸦小子的今与昔-《Jet Set Radio》！,"游戏机进化到光碟媒介之后,真正打动我心的,超不过10款.非要列出来的话,《Jet Set Radio》必然排第一!~"
16,2013-09-06,WS-たねをまく鳥！~,Wonder Swan算是个设计独特的掌机。可以横着玩也可以竖着玩，但是发售游戏阵容中，实际上竖立机身玩的游戏并不多，たねをまく鳥算是早期发售游戏中针对掌机特性量身定做的PUZ向游戏。
17,2013-09-05,平民小英雄-パーマン！～,也来点漫画改编的游戏系列吧，就先从启蒙的 藤子.F.不二雄和藤子.A.不二雄的作品说起！~
18,2013-09-03,西单台球儿风云录！~,好多时候儿，1盘游戏摆我面前，想的并不是游戏的内容如何精彩，而是当年接触游戏时的一些生活片段的大发散！~
19,2013-09-02,《いっき》-农夫起义的豪快行进曲！~,Sun-Soft公司现在能拿的出手的恐怕也只有《上海》系列了。而最打动我的还是《いっき》！！~
20,2013-08-30,公路上的轰鸣-《暴走卡车》回顾！~,日式艺术卡车游戏和历史背景回顾！~
21,2013-08-29,PS1的冷门游戏合集-セロファーンズ ！,PS1时代被遗忘的冷门街机游戏合集-《セロファーンズ 》！~
22,2013-08-29,3DS的《热血硬派くにおくん》系列的前世,热血硬派くにおくん
23,2013-08-16,To Games——我的快乐时代,怀旧  长文
