0,2016-12-15,别了，吾爱——《樱花大战》20周年随笔,樱花大战20周年了，我们应该做什么？唱歌、跳舞、谈恋爱！,66,52 Comments
1,2016-12-14,年纪大的人可能不知道《摩尔庄园》是什么，但那是我的童年,这是一篇有关年轻人的童年游戏记忆，那份欢乐的本质和红白机并无不同,52,230 Comments
2,2016-12-12,一个货真价实的弱智是怎样在2241年征服美国的,传说中的《辐射2》白痴主角的废土游记,180,101 Comments
3,2016-12-11,无兄弟，不游戏：怀念一下过去的好时光,关于我童年几个人的游戏记忆碎片,33,40 Comments
4,2016-12-06,上田文人一路走来的三部曲预告片回顾,《ICO》的曲子一出来很多人就湿了,68,19 Comments
5,2016-12-04,MD“友谊促进类”游戏回顾,每次看着两个手牵手的小伙伴最后变成“真人快打”后，我都会用十分欣慰的表情拔卡收钱,57,59 Comments
6,2016-12-02,《Castlevaina》：说说恶魔城系列带给我的快乐,从横版卷轴到ARPG，刷不完的魂，打不死的德古拉,88,131 Comments
7,2016-11-27,有关《ICO》的记忆：Don't let go,在《最后的守护者》发售前，我想来谈一谈《ICO》的魅力所在,70,33 Comments
8,2016-11-27,永别了，史上最能打的2P,其实老游戏玩家比谁都有资格缅怀卡斯特罗,254,241 Comments
9,2016-11-26,永远的《饿狼传说》：25周年纪念&盘点,作为SNK首个格斗游戏，它打开了2D格斗的一篇天空,37,28 Comments
10,2016-11-21,聊聊记忆里的“科乐美双响炮”,《赤色要塞》和《魂斗罗》，这两款游戏我玩了二十七年仍旧乐此不疲。,52,77 Comments
11,2016-11-19,我的童年游戏回忆——其一,我所怀念的并非游戏本身，而是它带来的一场梦罢了……,45,42 Comments
12,2016-11-10,FC上那些你可能没听说过的“神作”,迷你FC恐怕没法满足我们这些非主流孩子,92,56 Comments
13,2016-11-09,来看看《精灵宝可梦》系列这20年的开场吧,20年才盼来的中文，挺好的,54,46 Comments
14,2016-11-08,当我谈星际争霸的时候，我在谈些什么,又是一年暴雪嘉年华，很多年过去了。,65,272 Comments
15,2016-11-01,我与音乐的未解之缘,一段我与音乐之间的回忆以及其中趣事,23,11 Comments
16,2016-10-28,“哥谭”巡礼：聊聊《世界街头赛车》系列,在<地平线3>获得一片好评的现在，来看看上一个饱受好评的微软娱乐向竞速系列。,19,41 Comments
17,2016-10-27,《怪物猎人》系列的这些片头，你怀念吗？,看见落穴打开的那一刻，哭了,70,69 Comments
18,2016-10-24,异度风景中的烈火魔尘：聊聊《异域镇魂曲》,有一条街能收纳千万条街，有一扇门能关闭千万扇门,207,60 Comments
19,2016-10-12,《现代战争》里的昨天，肥皂离开了我们,《使命召唤：现代战争3》中肥皂今天离世,57,62 Comments
20,2016-10-06,元气の蓝——《刺猬索尼克》25周年音乐回顾（下）,只希望索尼克这个“小刺佬”能够再度崛起...,14,18 Comments
21,2016-10-01,我的童年时代：记忆中的《超能勇士》,跟大家分享一下GB\GBC上的《ビーストウォーズ》（超能勇士）,17,68 Comments
22,2016-09-27,《樱花大战》今天20岁了,一首20年也未曾过时的情歌,71,115 Comments
23,2016-09-27,说说作为一个小学生的我是怎么玩GTAVC的,人小时候那种对于世界的好奇心和想象力真的是天赐的无价之宝，一旦长大就被无情的收回。,28,52 Comments
